topicName,topicID,focusValue,parentName,parentID
香港亮碧思,19865087,80,「未归类」话题,19776751
斯拉夫,19656665,124,「未归类」话题,19776751
茶青,19963506,1,「未归类」话题,19776751
光的传播,19840359,45,「未归类」话题,19776751
企业社交,19723442,58,「未归类」话题,19776751
梦芭莎,19576427,46,「未归类」话题,19776751
杞人忧天,19884214,27,「未归类」话题,19776751
网站上线,19625352,30,「未归类」话题,19776751
更好的风格,19963522,6,「未归类」话题,19776751
SourceForge,19649946,119,「未归类」话题,19776751
经典款,20074087,3,「未归类」话题,19776751
创新社区,19963532,13,「未归类」话题,19776751
大脑风暴,19938829,32,「未归类」话题,19776751
小额贸易,19963534,8,「未归类」话题,19776751
北外国际新闻,19963535,107,「未归类」话题,19776751
泡妞,19924224,51070,异性交往,19630253
倒立,19607447,3363,「未归类」话题,19776751
技术处理,20060508,None,「未归类」话题,19776751
热血江湖,20012572,89,「未归类」话题,19776751
汽车信息服务,19606607,21,「未归类」话题,19776751
路径积分量子化,20079278,12,「未归类」话题,19776751
注定孤独一生,20012587,93,「未归类」话题,19776751
克鲁兹,19677156,26,「未归类」话题,19776751
gretl,20036663,11,「未归类」话题,19776751
摩诃萨,20036667,None,「未归类」话题,19776751
终端安全,20012599,7,「未归类」话题,19776751
独自开车,19938889,71,「未归类」话题,19776751
SCADA,19865204,167,「未归类」话题,19776751
怎样胖脸快,19963592,15,「未归类」话题,19776751
相貌,19600991,12188,外貌,19683311
批判一翻,20084035,None,「未归类」话题,19776751
Xbox One,20012616,7784,Xbox,19553255
SoundCloud,19558658,466,「未归类」话题,19776751
朵颜三卫,20036701,4,「未归类」话题,19776751
窦骁,20084055,577,「未归类」话题,19776751
涨薪,19709727,105,「未归类」话题,19776751
郑新欧,20084065,None,「未归类」话题,19776751
手机预装,19748186,13,「未归类」话题,19776751
北电学生性侵事件,20084072,151,「未归类」话题,19776751
声调语言,19963641,24,「未归类」话题,19776751
禁摩禁电,20060607,2,「未归类」话题,19776751
升级,19576592,50,「未归类」话题,19776751
浪花兄弟,20084091,None,「未归类」话题,19776751
创意广告,19601049,1121,「未归类」话题,19776751
与众不同,19601054,114,「未归类」话题,19776751
办案,19674647,46,「未归类」话题,19776751
加油打气,20060639,13,「未归类」话题,19776751
助教,19699142,83,「未归类」话题,19776751
赚钱,19889897,203004,收入,19568438
数字营销,19607687,2014,「未归类」话题,19776751
自如友家,20084126,4,「未归类」话题,19776751
流动摊贩,19594144,17,「未归类」话题,19776751
橡胶网,19963703,26,「未归类」话题,19776751
刘鹤春,20060666,None,「未归类」话题,19776751
大洋洲文化,20084136,None,「未归类」话题,19776751
司令部,20060674,None,「未归类」话题,19776751
内容传播,19657217,11,「未归类」话题,19776751
5pb,20012750,22,「未归类」话题,19776751
混合型肌肤,19914420,1863,「未归类」话题,19776751
i3 i5 i7,19603639,362,「未归类」话题,19776751
夺命金,19699183,28,「未归类」话题,19776751
兽性,20012770,29,「未归类」话题,19776751
人生道路,19806113,149,「未归类」话题,19776751
杭州骑行,20012776,77,「未归类」话题,19776751
数学计算,19914446,267,「未归类」话题,19776751
formdesign,20060735,None,「未归类」话题,19776751
人口过剩,20060736,9,「未归类」话题,19776751
过度换气综合症,20012795,30,「未归类」话题,19776751
加热,19674756,5,「未归类」话题,19776751
恐龙战队,20060757,93,「未归类」话题,19776751
俄罗斯食品,20060758,107,「未归类」话题,19776751
年限,19601192,3,「未归类」话题,19776751
资料搜集,19625644,2148,「未归类」话题,19776751
诽谤,19674790,76,「未归类」话题,19776751
门店装修设计,19890021,239,「未归类」话题,19776751
时尚包包,19963814,994,「未归类」话题,19776751
方位,19576785,6,「未归类」话题,19776751
民间科学,19636282,60,「未归类」话题,19776751
网站定位,19601227,22,「未归类」话题,19776751
天津小吃,20047963,65,「未归类」话题,19776751
华信网,20011191,3,「未归类」话题,19776751
受虐狂,19723823,126,「未归类」话题,19776751
流量运营,19723827,254,「未归类」话题,19776751
ESFJ,19966173,78,「未归类」话题,19776751
朝鲜话,20060822,15,「未归类」话题,19776751
怎样擦掉,19963859,1,「未归类」话题,19776751
张献忠,20036958,49,「未归类」话题,19776751
CO2,19914558,11,「未归类」话题,19776751
重复博弈,20068060,16,「未归类」话题,19776751
蛹虫草,19650341,21,「未归类」话题,19776751
节气,19963879,1626,农历,19577839
味噌,19963888,37,「未归类」话题,19776751
日餐,19963891,78511,美食,19551137
日餐,19963891,78511,日本文化,19551749
日餐,19963891,78511,饮食文化,19594045
刘未鹏（人物）,19576862,1277,「未归类」话题,19776751
程序员的加班,19890126,110,「未归类」话题,19776751
WHATWG,19963902,8,「未归类」话题,19776751
生产力工具,19772918,304,「未归类」话题,19776751
阿里巴巴 HR,20060877,6670,阿里巴巴工作,19607875
阿里巴巴 HR,20060877,6670,阿里巴巴集团,19551577
简网app,20037025,11,「未归类」话题,19776751
鞋带,19601328,136,「未归类」话题,19776751
信息平台,19576899,21,「未归类」话题,19776751
创业园区,19607728,104,「未归类」话题,19776751
百度研究院,20002960,26,「未归类」话题,19776751
安丘,20084387,3,「未归类」话题,19776751
页游开发,19796809,14,「未归类」话题,19776751
新闻编辑,19644572,188,「未归类」话题,19776751
唐诗赏析,20086609,2,「未归类」话题,19776751
Stylus,19625823,81,「未归类」话题,19776751
宠物交易,20037063,171,「未归类」话题,19776751
文集,19840870,38,「未归类」话题,19776751
吕秀才,20084425,1,「未归类」话题,19776751
鲸书,20074125,1,「未归类」话题,19776751
声之行,20060951,1,「未归类」话题,19776751
球杆,19665012,11,「未归类」话题,19776751
少女咖啡,20060959,12,「未归类」话题,19776751
华策影视,19796861,49,「未归类」话题,19776751
DB,19629464,47,「未归类」话题,19776751
百度企业,19576967,8,「未归类」话题,19776751
好斗,20060976,5,「未归类」话题,19776751
case interview,19569900,971,「未归类」话题,19776751
工业互联网云平台,20084458,2,「未归类」话题,19776751
凶杀案,19816278,455,「未归类」话题,19776751
Remix O,20037123,1,「未归类」话题,19776751
新垣结衣,20037128,22338,女演员,19568974
梯度下降,19650497,511,「未归类」话题,19776751
太平猴魁,20037141,53,「未归类」话题,19776751
Check-in（签到）,19552434,162,「未归类」话题,19776751
IT杂志,19577019,28,「未归类」话题,19776751
透明计算,20013100,266,「未归类」话题,19776751
MetaOS,20013101,1,「未归类」话题,19776751
趋势判断,19724054,84,「未归类」话题,19776751
跳票,19773075,5,「未归类」话题,19776751
Aloha Oe,20061023,37,「未归类」话题,19776751
渔民,20037170,1,「未归类」话题,19776751
抠图巨师,20006276,28,「未归类」话题,19776751
酷6网裁员,19599624,5,「未归类」话题,19776751
借鉴,19577058,24,「未归类」话题,19776751
VOX,19625975,14,「未归类」话题,19776751
转化,19625977,19,「未归类」话题,19776751
儿童监护,20063268,2,「未归类」话题,19776751
食品电商,19964101,67,「未归类」话题,19776751
天狼,19656782,40,「未归类」话题,19776751
世界羽联,20084553,None,「未归类」话题,19776751
Esprit,19724108,89,「未归类」话题,19776751
矩阵运算,19598145,431,「未归类」话题,19776751
镜头选择,19675140,390,「未归类」话题,19776751
身后,20013180,None,「未归类」话题,19776751
恐龙人,19964137,6,「未归类」话题,19776751
低压电器,19890346,667,「未归类」话题,19776751
人吃人,19939477,183,「未归类」话题,19776751
数理科学研究科,20063206,1,「未归类」话题,19776751
收受率,19964151,1,「未归类」话题,19776751
早茶,19572366,609,「未归类」话题,19776751
极验验证,20061127,13,「未归类」话题,19776751
约翰·凯奇（John Cage）,19841084,50,「未归类」话题,19776751
A1530,19890374,7,「未归类」话题,19776751
反进化论,20076922,9,「未归类」话题,19776751
玉珠峰,20061146,2,「未归类」话题,19776751
女强人,19810307,563,「未归类」话题,19776751
培训班,19577152,385,「未归类」话题,19776751
PuTTY,19675202,82,「未归类」话题,19776751
尊老爱幼,19876212,18,「未归类」话题,19776751
浪子,19649131,99,「未归类」话题,19776751
山寨游戏,20061177,2,「未归类」话题,19776751
淘宝活动,19601618,100,「未归类」话题,19776751
塔里木大学,20084636,15,「未归类」话题,19776751
家用DV,19810317,20,「未归类」话题,19776751
无人店,19964212,21,「未归类」话题,19776751
光学现象,19675226,30,「未归类」话题,19776751
430,20084643,None,「未归类」话题,19776751
宋濂,19964227,4,「未归类」话题,19776751
D9,19577206,11,「未归类」话题,19776751
女士护肤,19968704,10508,「未归类」话题,19776751
关注（Follow）机制,19552645,352,「未归类」话题,19776751
电网络理论,20065237,5,「未归类」话题,19776751
善恶,19650697,231,「未归类」话题,19776751
江仙阁,20013297,61,「未归类」话题,19776751
netcat,20061222,2,「未归类」话题,19776751
政治与新闻,19964252,336,「未归类」话题,19776751
有线网卡,19865892,9,「未归类」话题,19776751
健康之路,20082711,3,「未归类」话题,19776751
移动趋势,19618076,11,「未归类」话题,19776751
街头霸王（游戏 | Street Fighter）,20013323,943,格斗游戏（FTG）,19608379
名利,19797133,73,「未归类」话题,19776751
涡轮增压器,19890483,154,「未归类」话题,19776751
菜鸟驿站,20084702,23,「未归类」话题,19776751
近视镜,19872435,139,「未归类」话题,19776751
本科自考,19746841,311,「未归类」话题,19776751
皇家马德里队歌百年版,19964300,None,「未归类」话题,19776751
服贸协定中的艺人表现,19964309,7,「未归类」话题,19776751
留学心理咨询,20037409,38,「未归类」话题,19776751
饶漱石,20061302,15,「未归类」话题,19776751
止痛片,19699781,28,「未归类」话题,19776751
精神污染,20003029,149,「未归类」话题,19776751
台联电,20057480,2,「未归类」话题,19776751
家用净水器,19964328,711,「未归类」话题,19776751
鼻腔,19816612,32,「未归类」话题,19776751
网站搭建,19595725,330,「未归类」话题,19776751
火车司机,20061322,182,「未归类」话题,19776751
多人联机对抗,19601750,12,「未归类」话题,19776751
酒店电子商务,19599310,114,「未归类」话题,19776751
交大电院,20084770,None,「未归类」话题,19776751
市场调研,19601768,12163,市场,19561473
市场调研,19601768,12163,市场营销,19550803
护理工,19988870,6,「未归类」话题,19776751
边防管理,20084782,1,「未归类」话题,19776751
双核浏览器,19601775,12,「未归类」话题,19776751
集体心理学,19964364,131,「未归类」话题,19776751
普者黑,20084792,None,「未归类」话题,19776751
奇葩产品,19866019,339,「未归类」话题,19776751
百安居,19964377,89,「未归类」话题,19776751
小米后援会,19964383,3,「未归类」话题,19776751
首指,19964386,None,「未归类」话题,19776751
博世,19650848,1721,「未归类」话题,19776751
就业困难,20013478,28,「未归类」话题,19776751
妊娠,19650857,210,「未归类」话题,19776751
攀登,19552822,63,「未归类」话题,19776751
成均馆大学,20013495,303,「未归类」话题,19776751
网络故障,19577415,36,「未归类」话题,19776751
Wget,19576468,43,「未归类」话题,19776751
税点,19601850,145,「未归类」话题,19776751
GH4,19964430,63,「未归类」话题,19776751
悉尼圣奥古斯丁高中,20084858,None,「未归类」话题,19776751
拉新,20063257,17,「未归类」话题,19776751
文化入侵,19601866,254,「未归类」话题,19776751
个性网址,19577452,6,「未归类」话题,19776751
用户引导,19552867,218,「未归类」话题,19776751
复制,19552873,29,「未归类」话题,19776751
参与度,19964453,None,「未归类」话题,19776751
Android 内存,19620092,59,「未归类」话题,19776751
计算机 毕业生,19964464,13,「未归类」话题,19776751
友录,19552894,19,「未归类」话题,19776751
美容前景,19964474,73,「未归类」话题,19776751
高考试题,19989004,439,「未归类」话题,19776751
啃老,19675493,449,「未归类」话题,19776751
健腹,19964496,24,「未归类」话题,19776751
通感,19724522,129,「未归类」话题,19776751
电源插座,19797359,26,「未归类」话题,19776751
ROM开发,19724529,73,「未归类」话题,19776751
纸客帝国,20084928,None,「未归类」话题,19776751
玩转四方,19552929,19,「未归类」话题,19776751
TOP10,19592969,145,「未归类」话题,19776751
需求变动,19595767,21,「未归类」话题,19776751
降温感冒,19968989,5,「未归类」话题,19776751
论坛活动效果,19601955,14,「未归类」话题,19776751
活动演出,19601963,24,「未归类」话题,19776751
乔治亚州第六选区,20084958,None,「未归类」话题,19776751
游戏机房,20061513,3,「未归类」话题,19776751
超次元偶像,20084964,2,「未归类」话题,19776751
Sub Pop,19749150,16,「未归类」话题,19776751
春困,19675556,49,「未归类」话题,19776751
杰出,19601979,12,「未归类」话题,19776751
微号,19651033,8,「未归类」话题,19776751
喜欢的工作,19577582,332,「未归类」话题,19776751
税费,19685464,214,「未归类」话题,19776751
ANU College,20084996,2,「未归类」话题,19776751
目录,19790894,30,「未归类」话题,19776751
